ts_s,copv_psi,lox_psi,lng_psi,vent_psi,lox_mvas_psi,lox_inj_tee_psi,inj_lox_psi,inj_lng_psi,loadcell_lbf
1776680717.0500102,2797.567917060852,155.136004114151,135.43999495506287,34.86399936079979,48.47999902963638,38.9200003683567,28.927507629245518,28.604042442142962,6.0
1776680717.101173,2797.567917060852,155.136004114151,135.43999495506287,34.86399936079979,48.47999902963638,38.9200003683567,28.927507629245518,28.604042442142962,6.0
1776680717.1522436,2796.7600452423094,153.52000000476838,133.92499747276307,36.48000063896179,47.97499986886978,36.90000089406967,33.691286543011664,31.35694725960493,6.0
1776680717.2037506,2796.7600452423094,153.52000000476838,133.92499747276307,36.48000063896179,47.97499986886978,36.90000089406967,33.691286543011664,31.35694725960493,6.0
1776680717.2551556,2796.7600452423094,153.52000000476838,133.92499747276307,36.48000063896179,47.97499986886978,36.90000089406967,33.691286543011664,31.35694725960493,6.0
1776680717.3066428,2795.9680320739744,151.93600001335145,132.43999960422516,38.06400063037872,47.480000579357146,34.91999948918819,36.611243994534014,34.40530481338501,8.0
1776680717.3578875,2795.9680320739744,151.93600001335145,132.43999960422516,38.06400063037872,47.480000579357146,34.91999948918819,36.611243994534014,34.40530481338501,8.0
1776680717.4090993,2795.9680320739744,151.93600001335145,132.43999960422516,38.06400063037872,47.480000579357146,34.91999948918819,36.611243994534014,34.40530481338501,8.0
1776680717.4690304,2795.9680320739744,151.93600001335145,132.43999960422516,38.06400063037872,47.480000579357146,34.91999948918819,36.611243994534014,34.40530481338501,8.0
1776680717.5205219,2795.1279832839964,150.25599899291993,130.86500289440156,39.74399881958961,46.95499884486198,32.81999962925911,40.67649459987879,36.54240711182356,9.0
1776680717.5718207,2795.1279832839964,150.25599899291993,130.86500289440156,39.74399881958961,46.95499884486198,32.81999962925911,40.67649459987879,36.54240711182356,9.0
1776680717.6231244,2795.1279832839964,150.25599899291993,130.86500289440156,39.74399881958961,46.95499884486198,32.81999962925911,40.67649459987879,36.54240711182356,9.0
1776680717.6743116,2795.1279832839964,150.25599899291993,130.86500289440156,39.74399881958961,46.95499884486198,32.81999962925911,40.67649459987879,36.54240711182356,9.0
1776680717.7258608,2794.1360132217405,148.2720041513443,129.00500419139863,41.72799932360649,46.33500116467476,30.340000414848326,44.3032124876976,40.16093215495348,9.0
1776680717.7771595,2794.1360132217405,148.2720041513443,129.00500419139863,41.72799932360649,46.33500116467476,30.340000414848326,44.3032124876976,40.16093215495348,9.0
1776680717.8283575,2794.1360132217405,148.2720041513443,129.00500419139863,41.72799932360649,46.33500116467476,30.340000414848326,44.3032124876976,40.16093215495348,9.0
1776680717.8794153,2794.1360132217405,148.2720041513443,129.00500419139863,41.72799932360649,46.33500116467476,30.340000414848326,44.3032124876976,40.16093215495348,9.0
1776680717.930754,2793.540049743652,147.0800036430359,127.8874987602234,42.9199998319149,45.96250029802322,28.849999779462813,45.887504094839095,42.782113724946974,12.0
1776680717.9820879,2793.540049743652,147.0800036430359,127.8874987602234,42.9199998319149,45.96250029802322,28.849999779462813,45.887504094839095,42.782113724946974,12.0
